Datetime,MCP
"2023-01-04 01:30:00",6000
"2023-01-04 01:45:00",6000
"2023-01-04 02:00:00",2139.24
"2023-01-04 02:15:00",2139.15
"2023-01-04 02:30:00",1859.58
"2023-01-04 02:45:00",1859.55
"2023-01-04 03:00:00",2116.12
"2023-01-04 03:15:00",2139.62
"2023-01-04 03:30:00",2369.74
"2023-01-04 03:45:00",2142.8
"2023-01-04 04:00:00",2540.99
"2023-01-04 04:15:00",2810.18
"2023-01-04 04:30:00",3475.35
"2023-01-04 04:45:00",3968.66
"2023-01-04 05:00:00",3736.66
"2023-01-04 05:15:00",3757.73
"2023-01-04 05:30:00",3700.9
"2023-01-04 05:45:00",4285.5
"2023-01-04 06:00:00",4260.49
"2023-01-04 06:15:00",4750.49
"2023-01-04 06:30:00",5000.77
"2023-01-04 06:45:00",5000.82
"2023-01-04 07:00:00",5100.3
"2023-01-04 07:15:00",6148.5
"2023-01-04 07:30:00",8203.44
"2023-01-04 07:45:00",8206.59
"2023-01-04 08:00:00",6999.92
"2023-01-04 08:15:00",6999.88
"2023-01-04 08:30:00",6999.19
"2023-01-04 08:45:00",6044.2
"2023-01-04 09:00:00",8607.48
"2023-01-04 09:15:00",9000.82
"2023-01-04 09:30:00",12000
"2023-01-04 09:45:00",12000
"2023-01-04 10:00:00",12000
"2023-01-04 10:15:00",12000
"2023-01-04 10:30:00",11999.34
"2023-01-04 10:45:00",9500.04
"2023-01-04 11:00:00",7399.52
"2023-01-04 11:15:00",6989.92
"2023-01-04 11:30:00",6500.97
"2023-01-04 11:45:00",6500.28
"2023-01-04 12:00:00",6500.16
"2023-01-04 12:15:00",8093.03
"2023-01-04 12:30:00",7500.33
"2023-01-04 12:45:00",6989.84
"2023-01-04 13:00:00",5000.61
"2023-01-04 13:15:00",5000.63
"2023-01-04 13:30:00",3969.88
"2023-01-04 13:45:00",3860.6
"2023-01-04 14:00:00",3930.1
"2023-01-04 14:15:00",4260.62
"2023-01-04 14:30:00",5000.35
"2023-01-04 14:45:00",5000.42
"2023-01-04 15:00:00",5000.12
"2023-01-04 15:15:00",5000.2
"2023-01-04 15:30:00",5000.5
"2023-01-04 15:45:00",5026.22
"2023-01-04 16:00:00",5000.09
"2023-01-04 16:15:00",5000.03
"2023-01-04 16:30:00",5500.5
"2023-01-04 16:45:00",5739.7
"2023-01-04 17:00:00",5026.97
"2023-01-04 17:15:00",5222.81
"2023-01-04 17:30:00",5000.89
"2023-01-04 17:45:00",6148.49
"2023-01-04 18:00:00",7679.02
"2023-01-04 18:15:00",11999.58
"2023-01-04 18:30:00",7509.51
"2023-01-04 18:45:00",7500.74
"2023-01-04 19:00:00",7500.36
"2023-01-04 19:15:00",6500.92
"2023-01-04 19:30:00",6500.59
"2023-01-04 19:45:00",5959.8
"2023-01-04 20:00:00",5000.42
"2023-01-04 20:15:00",4859.27
"2023-01-04 20:30:00",4229.01
"2023-01-04 20:45:00",3959.4
"2023-01-04 21:00:00",4630.24
"2023-01-04 21:15:00",4678.75
"2023-01-04 21:30:00",4436.16
"2023-01-04 21:45:00",3939.22
"2023-01-04 22:00:00",4285.5
"2023-01-04 22:15:00",4285.55
"2023-01-04 22:30:00",3950.35
"2023-01-04 22:45:00",3939.05
"2023-01-04 23:00:00",2900.37
"2023-01-04 23:15:00",2698.4
"2023-01-04 23:30:00",3100.25
"2023-01-04 23:45:00",2900.82
"2023-01-05 00:00:00",2880.14
"2023-01-05 00:15:00",3420.2
"2023-01-05 00:30:00",3530.88
"2023-01-05 00:45:00",2810.91
"2023-01-05 01:00:00",2650.3
"2023-01-05 01:15:00",2302.34
"2023-01-05 01:30:00",1989.31
"2023-01-05 01:45:00",1829.62
"2023-01-05 02:00:00",1803.6
"2023-01-05 02:15:00",2151.07
"2023-01-05 02:30:00",2450.08
"2023-01-05 02:45:00",2369.32
"2023-01-05 03:00:00",2116.45
"2023-01-05 03:15:00",2116.87
"2023-01-05 03:30:00",2187.37
"2023-01-05 03:45:00",2187.63
"2023-01-05 04:00:00",2478.8
"2023-01-05 04:15:00",3680.02
"2023-01-05 04:30:00",2768.57
"2023-01-05 04:45:00",2369.97
"2023-01-05 05:00:00",3680.08
"2023-01-05 05:15:00",3680.97
"2023-01-05 05:30:00",2280.4
"2023-01-05 05:45:00",2149.84
"2023-01-05 06:00:00",3736.98
"2023-01-05 06:15:00",4701.14
"2023-01-05 06:30:00",5000.83
"2023-01-05 06:45:00",6000.52
"2023-01-05 07:00:00",6500.46
"2023-01-05 07:15:00",7999.85
"2023-01-05 07:30:00",9000.42
"2023-01-05 07:45:00",11000.81
"2023-01-05 08:00:00",9000.72
"2023-01-05 08:15:00",12000
"2023-01-05 08:30:00",12000
"2023-01-05 08:45:00",12000
"2023-01-05 09:00:00",12000
"2023-01-05 09:15:00",12000
